batch_id,input_symbol,input_company_name,nse_symbol,isin,legal_company_name,common_company_name,normalized_symbol,company_name_key,processed_status,processed_date,curation_status,overall_confidence,latest_annual_report_financial_year,source_profile_file,notes
nifty_500_shariah,TIINDIA,Tube Investments of India Ltd.,TIINDIA,INE974X01010,Tube Investments of India Limited,Tube Investments of India Limited,TIINDIA,TUBE INVESTMENTS OF INDIA,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,annual-report text extraction: PdfReadError: Cannot find Root object in pdf
nifty_500_shariah,TIMKEN,Timken India Ltd.,TIMKEN,INE325A01013,Timken India Limited,Timken India Limited,TIMKEN,TIMKEN INDIA,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,TITAGARH,Titagarh Rail Systems Ltd.,TITAGARH,INE615H01020,TITAGARH RAIL SYSTEMS LIMITED,TITAGARH RAIL SYSTEMS LIMITED,TITAGARH,TITAGARH RAIL SYSTEMS,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,annual-report text extraction: PdfReadError: Cannot find Root object in pdf
nifty_500_shariah,TORNTPHARM,Torrent Pharmaceuticals Ltd.,TORNTPHARM,INE685A01028,Torrent Pharmaceuticals Limited,Torrent Pharmaceuticals Limited,TORNTPHARM,TORRENT PHARMACEUTICALS,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,annual-report text extraction: PdfReadError: Cannot find Root object in pdf
nifty_500_shariah,TORNTPOWER,Torrent Power Ltd.,TORNTPOWER,INE813H01021,Torrent Power Limited,Torrent Power Limited,TORNTPOWER,TORRENT POWER,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,annual-report text extraction: PdfReadError: Cannot find Root object in pdf
nifty_500_shariah,TRIDENT,Trident Ltd.,TRIDENT,INE064C01022,Trident Limited,Trident Limited,TRIDENT,TRIDENT,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,UNOMINDA,UNO Minda Ltd.,UNOMINDA,INE405E01023,UNO Minda Limited,UNO Minda Limited,UNOMINDA,UNO MINDA,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,USHAMART,Usha Martin Ltd.,USHAMART,INE228A01035,Usha Martin Limited,Usha Martin Limited,USHAMART,USHA MARTIN,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,VMM,Vishal Mega Mart Ltd.,VMM,INE01EA01019,Vishal Mega Mart Limited,Vishal Mega Mart Limited,VMM,VISHAL MEGA MART,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,VOLTAS,Voltas Ltd.,VOLTAS,INE226A01021,Voltas Limited,Voltas Limited,VOLTAS,VOLTAS,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,VTL,Vardhman Textiles Ltd.,VTL,INE825A01020,Vardhman Textiles Limited,Vardhman Textiles Limited,VTL,VARDHMAN TEXTILES,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,WELCORP,Welspun Corp Ltd.,WELCORP,INE191B01025,Welspun Corp Limited,Welspun Corp Limited,WELCORP,WELSPUN,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,annual-report text extraction: PdfReadError: Cannot find Root object in pdf
nifty_500_shariah,WELSPUNLIV,Welspun Living Ltd.,WELSPUNLIV,INE192B01031,Welspun Living Limited,Welspun Living Limited,WELSPUNLIV,WELSPUN LIVING,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,annual-report text extraction: PdfReadError: Cannot find Root object in pdf
nifty_500_shariah,WHIRLPOOL,Whirlpool of India Ltd.,WHIRLPOOL,INE716A01013,Whirlpool of India Limited,Whirlpool of India Limited,WHIRLPOOL,WHIRLPOOL OF INDIA,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,WOCKPHARMA,Wockhardt Ltd.,WOCKPHARMA,INE049B01025,Wockhardt Limited,Wockhardt Limited,WOCKPHARMA,WOCKHARDT,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,ZYDUSLIFE,Zydus Lifesciences Ltd.,ZYDUSLIFE,INE010B01027,Zydus Lifesciences Limited,Zydus Lifesciences Limited,ZYDUSLIFE,ZYDUS LIFESCIENCES,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,ZYDUSWELL,Zydus Wellness Ltd.,ZYDUSWELL,INE768C01028,Zydus Wellness Limited,Zydus Wellness Limited,ZYDUSWELL,ZYDUS WELLNESS,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
