batch_id,input_symbol,input_company_name,nse_symbol,nse_issuer_name,symbol_match_status,isin,listing_status,nse_macro,nse_sector,nse_industry,nse_basic_industry,index,index_list,pd_sector_index,source,confidence,notes
ind_nifty500,DIVISLAB,Divi's Laboratories Ltd.,DIVISLAB,Divi's Laboratories Limited,exact_symbol_match,INE361B01024,Listed,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,Nifty Next 50,NIFTY NEXT 50; NIFTY 100; NIFTY 200; NIFTY 500; NIFTY ALPHA QUALITY LOW-VOLATILITY 30; NIFTY GROWTH SECTORS 15; NIFTY HEALTHCARE INDEX; NIFTY INDIA FPI 150; NIFTY INDIA MANUFACTURING; NIFTY LARGEMIDCAP 250; NIFTY LOW VOLATILITY 50; NIFTY PHARMA; NIFTY TOTAL MARKET; NIFTY100 ENHANCED ESG; NIFTY100 EQUAL WEIGHT; NIFTY100 ESG; NIFTY100 QUALITY 30; NIFTY500 EQUAL WEIGHT; NIFTY500 HEALTHCARE; NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED; NIFTY500 LOW VOLATILITY 50; NIFTY500 MULTICAP 50:25:25; NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20,NIFTY PHARMA,NSE quote API secInfo,0.9,
nifty_500_shariah,DIXON,Dixon Technologies (India) Ltd.,DIXON,Dixon Technologies (India) Limited,exact_symbol_match,INE935N01020,Listed,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,Nifty Midcap 50,NIFTY MIDCAP 50; NIFTY 200; NIFTY 500; NIFTY CONSUMER DURABLES; NIFTY CORE HOUSING; NIFTY HOUSING; NIFTY INDIA CONSUMPTION; NIFTY INDIA FPI 150; NIFTY INDIA MANUFACTURING; NIFTY INDIA NEW AGE CONSUMPTION; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 100; NIFTY MIDCAP 150; NIFTY MIDCAP LIQUID 15; NIFTY MIDCAP SELECT; NIFTY MIDCAP150 QUALITY 50; NIFTY MIDSMALL INDIA CONSUMPTION; NIFTY MIDSMALLCAP 400; NIFTY MIDSMALLCAP400 50:50; NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100; NIFTY NON-CYCLICAL CONSUMER; NIFTY RURAL; NIFTY SHARIAH 25; NIFTY TOTAL MARKET; NIFTY200 QUALITY 30; NIFTY500 EQUAL WEIGHT; NIFTY500 FLEXICAP QUALITY 30; NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED; NIFTY500 MULTICAP 50:25:25; NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20; NIFTY500 MULTICAP MOMENTUM QUALITY 50; NIFTY500 QUALITY 50; NIFTY500 SHARIAH,NIFTY INDIA CONSUMPTION,NSE quote API secInfo,0.9,
ind_nifty500,DLF,DLF Ltd.,DLF,DLF Limited,exact_symbol_match,INE271C01023,Listed,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,Nifty Next 50,NIFTY NEXT 50; NIFTY 100; NIFTY 200; NIFTY 500; NIFTY CORE HOUSING; NIFTY HIGH BETA 50; NIFTY HOUSING; NIFTY INDIA CONSUMPTION; NIFTY INDIA FPI 150; NIFTY INDIA INFRASTRUCTURE & LOGISTICS; NIFTY INDIA NEW AGE CONSUMPTION; NIFTY INFRASTRUCTURE; NIFTY LARGEMIDCAP 250; NIFTY REALTY; NIFTY REITS & REALTY; NIFTY TOTAL MARKET; NIFTY100 ENHANCED ESG; NIFTY100 EQUAL WEIGHT; NIFTY100 ESG; NIFTY100 ESG SECTOR LEADERS; NIFTY500 EQUAL WEIGHT; NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED; NIFTY500 MULTICAP 50:25:25,NIFTY INFRASTRUCTURE,NSE quote API secInfo,0.9,
nifty_500_shariah,DMART,Avenue Supermarts Ltd.,DMART,Avenue Supermarts Limited,exact_symbol_match,INE192R01011,Listed,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail,Nifty Next 50,NIFTY NEXT 50; NIFTY 100; NIFTY 200; NIFTY 500; NIFTY INDIA CONSUMPTION; NIFTY INDIA FPI 150; NIFTY INDIA NEW AGE CONSUMPTION; NIFTY LARGEMIDCAP 250; NIFTY LOW VOLATILITY 50; NIFTY NON-CYCLICAL CONSUMER; NIFTY SERVICES SECTOR; NIFTY TOTAL MARKET; NIFTY100 ENHANCED ESG; NIFTY100 EQUAL WEIGHT; NIFTY100 ESG; NIFTY100 ESG SECTOR LEADERS; NIFTY500 EQUAL WEIGHT; NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED; NIFTY500 MULTICAP 50:25:25; NIFTY500 SHARIAH,NIFTY 500,NSE quote API secInfo,0.9,
nifty_500_shariah,DOMS,DOMS Industries Ltd.,DOMS,DOMS Industries Limited,exact_symbol_match,INE321T01012,Listed,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Stationary,Nifty 500,NIFTY 500; NIFTY MIDSMALLCAP 400; NIFTY MIDSMALLCAP400 50:50; NIFTY SMALLCAP 250; NIFTY SMALLCAP 500; NIFTY TOTAL MARKET; NIFTY500 EQUAL WEIGHT; NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED; NIFTY500 MULTICAP 50:25:25; NIFTY500 SHARIAH,-,NSE quote API secInfo,0.9,
nifty_50_shariah,DRREDDY,DR.REDDY'S LABORATORIES LTD.,DRREDDY,Dr. Reddy's Laboratories Limited,exact_symbol_match,INE089A01031,Listed,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,Nifty 50,NIFTY 50; NIFTY 100; NIFTY 200; NIFTY 500; NIFTY ALPHA LOW-VOLATILITY 30; NIFTY ALPHA QUALITY LOW-VOLATILITY 30; NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30; NIFTY HEALTHCARE INDEX; NIFTY INDIA FPI 150; NIFTY INDIA MANUFACTURING; NIFTY LARGEMIDCAP 250; NIFTY LOW VOLATILITY 50; NIFTY PHARMA; NIFTY QUALITY LOW-VOLATILITY 30; NIFTY SHARIAH 25; NIFTY TOTAL MARKET; NIFTY100 EQUAL WEIGHT; NIFTY100 LOW VOLATILITY 30; NIFTY100 QUALITY 30; NIFTY50 EQUAL WEIGHT; NIFTY50 SHARIAH; NIFTY50 VALUE 20; NIFTY500 EQUAL WEIGHT; NIFTY500 HEALTHCARE; NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED; NIFTY500 LOW VOLATILITY 50; NIFTY500 MULTICAP 50:25:25; NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20; NIFTY500 MULTIFACTOR MQVLV 50; NIFTY500 SHARIAH,NIFTY PHARMA,NSE quote API secInfo,0.9,
nifty_500_shariah,ECLERX,eClerx Services Ltd.,ECLERX,eClerx Services Limited,exact_symbol_match,INE738I01010,Listed,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Nifty 500,NIFTY 500; NIFTY MIDSMALLCAP 400; NIFTY MIDSMALLCAP400 50:50; NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100; NIFTY SMALLCAP 250; NIFTY SMALLCAP 500; NIFTY SMALLCAP250 MOMENTUM QUALITY 100; NIFTY SMALLCAP250 QUALITY 50; NIFTY TOTAL MARKET; NIFTY TOTAL MARKET MOMENTUM QUALITY 50; NIFTY500 EQUAL WEIGHT; NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED; NIFTY500 MULTICAP 50:25:25; NIFTY500 MULTICAP MOMENTUM QUALITY 50; NIFTY500 QUALITY 50; NIFTY500 SHARIAH,NIFTY IT,NSE quote API secInfo,0.9,
ind_nifty500,EICHERMOT,Eicher Motors Ltd.,EICHERMOT,Eicher Motors Limited,exact_symbol_match,INE066A01021,Listed,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,Nifty 50,NIFTY 50; NIFTY 100; NIFTY 200; NIFTY 500; NIFTY ALPHA 50; NIFTY ALPHA LOW-VOLATILITY 30; NIFTY ALPHA QUALITY LOW-VOLATILITY 30; NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30; NIFTY AUTO; NIFTY EV & NEW AGE AUTOMOTIVE; NIFTY GROWTH SECTORS 15; NIFTY INDIA CONSUMPTION; NIFTY INDIA FPI 150; NIFTY INDIA MANUFACTURING; NIFTY INDIA NEW AGE CONSUMPTION; NIFTY LARGEMIDCAP 250; NIFTY MOBILITY; NIFTY QUALITY LOW-VOLATILITY 30; NIFTY RURAL; NIFTY TOTAL MARKET; NIFTY TOTAL MARKET MOMENTUM QUALITY 50; NIFTY TRANSPORTATION & LOGISTICS; NIFTY100 ALPHA 30; NIFTY100 ENHANCED ESG; NIFTY100 EQUAL WEIGHT; NIFTY100 ESG; NIFTY100 QUALITY 30; NIFTY200 ALPHA 30; NIFTY200 MOMENTUM 30; NIFTY50 EQUAL WEIGHT; NIFTY500 EQUAL WEIGHT; NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED; NIFTY500 LOW VOLATILITY 50; NIFTY500 MOMENTUM 50; NIFTY500 MULTICAP 50:25:25; NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20; NIFTY500 MULTICAP MOMENTUM QUALITY 50; NIFTY500 MULTIFACTOR MQVLV 50,NIFTY AUTO,NSE quote API secInfo,0.9,
ind_nifty500,EIDPARRY,E.I.D. Parry (India) Ltd.,EIDPARRY,EID Parry India Limited,exact_symbol_match,INE126A01031,Listed,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products,Nifty 500,NIFTY 500; NIFTY MIDSMALLCAP 400; NIFTY MIDSMALLCAP400 50:50; NIFTY SMALLCAP 250; NIFTY SMALLCAP 500; NIFTY SUGAR & ETHANOL; NIFTY TOTAL MARKET; NIFTY500 EQUAL WEIGHT; NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED; NIFTY500 MULTICAP 50:25:25,NIFTY FMCG,NSE quote API secInfo,0.9,
ind_nifty500,EIHOTEL,EIH Ltd.,EIHOTEL,EIH Limited,exact_symbol_match,INE230A01023,Listed,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,Nifty 500,NIFTY 500; NIFTY CONSUMER SERVICES; NIFTY INDIA NEW AGE CONSUMPTION; NIFTY INDIA TOURISM; NIFTY MIDSMALLCAP 400; NIFTY MIDSMALLCAP400 50:50; NIFTY SMALLCAP 250; NIFTY SMALLCAP 500; NIFTY TOTAL MARKET; NIFTY500 EQUAL WEIGHT; NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED; NIFTY500 MULTICAP 50:25:25; NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20,NIFTY SERVICES SECTOR,NSE quote API secInfo,0.9,
